Name,URL,Genossenschaft,Typ Einträge,Select,AI Summary Anteilsscheine
Baugenossenschaft Zürileu - Statuten,https://bgzuerileu.ch/wp-content/uploads/2022/09/Statuten.pdf,Baugenossenschaft Zürileu,Statuten,PDF,"'- Die Genossenschaftsanteile lauten auf einen Nennwert von je CHF 100 und müssen voll einbezahlt werden. Der Vorstand kann für neue Mitglieder jederzeit neue Genossenschaftsanteile ausgeben. Der Maximalbetrag beträgt 20% der Anlagekosten der gemieteten Räumlichkeiten (Art. 15).
- Die Genossenschaftsanteile werden nicht als physische Anteilscheine ausgegeben. Das Mitglied erhält jährlich eine Bestätigung über die Höhe seiner Beteiligung (Art. 15).
- Genossenschaftsanteile können mit Mitteln der beruflichen Vorsorge erworben werden (Art. 16).
- Mit Einverständnis des Vorstandes können Genossenschaftsanteile auch von Dritten finanziert werden (Art. 16).
- Eine Verzinsung der Genossenschaftsanteile darf nur erfolgen, wenn angemessene Einlagen in die gesetzlichen und statutarischen Fonds sowie Abschreibungen vorgenommen sind. Die Generalversammlung bestimmt jährlich den Zinssatz, der 6% nicht übersteigen darf (Art. 17).
- Die Anteile werden jeweils vom ersten Tag des auf die Einzahlung folgenden Monats bis zum Erlöschen der Mitgliedschaft verzinst. Der nicht einbezahlte Betrag wird nicht verzinst (Art. 17).
- Die Rückzahlung von Anteilen, die mit Mitteln der beruflichen Vorsorge erworben wurden, hat nach Weisung des bisherigen Mitglieds zu seinen Gunsten entweder an eine andere Wohnbaugenossenschaft, an eine Einrichtung der beruflichen Vorsorge oder – nach Erreichen des Rentenalters – an das bisherige Mitglied selbst zu erfolgen (Art. 18).
- Die Rückzahlung erfolgt zum Bilanzwert des Austrittsjahres, höchstens aber zum Nennwert. Die Auszahlung erfolgt innert eines Monats nach Genehmigung der Jahresrechnung und Festlegung des Zinssatzes durch die nächste ordentliche Generalversammlung. Der Vorstand kann die Rückzahlung bis zu drei Jahre hinausschieben (Art. 18).
- Es gibt keine Bestimmung zur Ratenzahlung der Genossenschaftsanteile.
- Weitere besondere Bestimmungen: Jede Verpfändung und sonstige Belastung von Genossenschaftsanteilen sowie deren Übertragung an Personen, die nicht Mitglieder der Genossenschaft sind, sind ausgeschlossen (Art. 13)."
Baugenossenschaft Waidmatt - Anteilsscheine,https://www.waidmatt.ch/index.php/download_file/view/185/192/,Baugenossenschaft Waidmatt,Anteilsscheine,Webseite,"Im verlinkten Dokument sind keine Bestimmungen zu Anteilsscheinen, deren Verzinsung, Höhe, Zahlungsmodalitäten, Bezug aus der Altersvorsorge oder weitere besondere Bestimmungen ersichtlich."
Baugenossenschaft Waidmatt - Statuten,https://www.waidmatt.ch/index.php/download_file/view/1295/192/,Baugenossenschaft Waidmatt,Statuten,PDF,Das verlinkte Dokument konnte nicht gelesen werden oder ist ungültig. Es sind daher keine Informationen zu Anteilsscheinen oder deren Bestimmungen enthalten.
Baugenossenschaft Uster - Statuten,https://baugenossenschaft-uster.ch/wp-content/uploads/2022/06/Statuten_BGU.pdf,Baugenossenschaft Uster,Statuten,PDF,"'- Anteilsscheine haben einen Nennwert von CHF 100.– pro Stück. Jedes Mitglied muss mindestens 10 Anteilsscheine übernehmen. Mieter müssen zusätzlich pro Zimmer CHF 1'000.– (Halbzimmer CHF 500.–) an Genossenschaftsanteilen vor Bezug der Wohnung einzahlen. Der Vorstand kann auf schriftliches Gesuch Fristerstreckung, Ratenzahlung oder Reduktion bewilligen.
- Anteilsscheine sind grundsätzlich verzinslich. Der Zinssatz wird von der Generalversammlung festgelegt, ist aber durch gesetzliche Vorgaben für gemeinnützige Organisationen und den zulässigen Höchstzinssatz für die Befreiung von der eidgenössischen Stempelabgabe beschränkt.
- Die Mitgliedschaft beginnt mit vollständiger Einzahlung der Anteile oder bei Ratenzahlung mit der ersten Rate.
- Mitglieder, die ihr Pflichtanteilkapital aus Mitteln der beruflichen Vorsorge (Altersvorsorge) liberieren, unterstehen den entsprechenden gesetzlichen Bestimmungen. Details zur Höhe und zum Ablauf regelt ein separates Reglement.
- Die Rückzahlung der Anteile an ausscheidende Mitglieder erfolgt zum Bilanzwert, höchstens aber zum Nennwert, frühestens ein Jahr nach Austritt, spätestens nach drei Jahren, und nie vor Rückgabe der Wohnung.
- Die Verpfändung oder Übertragung der Anteile an Nichtmitglieder ist ausgeschlossen.

Quelle: Statuten Baugenossenschaft Uster."
HGW - Statuten,https://www.hgw-wohnen.ch/100-wohnen/dokumente-mieterservice/132_hgw-statuten_2021.pdf,HGW,Statuten,PDF,"'- Die Genossenschaftsanteile lauten auf einen Nennwert von CHF 100.– und müssen voll einbezahlt werden. Mitglieder, die Räumlichkeiten mieten, müssen zusätzlich Wohnungsanteile übernehmen. Die Anzahl Wohnungsanteile wird im Verhältnis zur Nettomiete so berechnet, dass maximal das Sechsfache der monatlichen Nettomiete erreicht wird.
- Genossenschaftsanteile können nicht mit Mitteln der beruflichen Vorsorge erworben werden.
- Ausnahmsweise kann die Geschäftsführung für die Wohnungsanteile eine Ratenzahlung bewilligen.
- Für Genossenschaftsanteile werden keine Anteilscheine ausgegeben, das Mitglied erhält eine Bestätigung über die Höhe seiner Beteiligung.
- Die Genossenschaftsanteile (Mitgliedschafts- und Wohnungsanteile) werden nicht verzinst.
- Jede Verpfändung, sonstige Belastung oder Übertragung der Genossenschaftsanteile ist ausgeschlossen (mit Ausnahme der in den Statuten geregelten Fälle bei Tod oder Scheidung).
- Beim Austritt erfolgt die Rückzahlung zum Bilanzwert des Austrittsjahres, höchstens aber zum Nennwert, nach Genehmigung der Jahresrechnung durch die nächste Generalversammlung, frühestens jedoch nach Wohnungsabgabe.
- Genossenschaftsanteile können nicht aus der Altersvorsorge (berufliche Vorsorge) bezogen werden.

Weitere besondere Bestimmungen:
- Mieten mehrere Mitglieder gemeinsam, haften sie für die Wohnungsanteile solidarisch.
- Kein Rückzahlungsanspruch besteht bei Übernahme der Anteile durch Partner/in im Todes- oder Scheidungsfall gemäß Statuten.
- Die Genossenschaft ist berechtigt, Forderungen mit Guthaben aus Genossenschaftsanteilen zu verrechnen.

Quelle: Statuten HGW Heimstätten-Genossenschaft Winterthur, Art. 7, 10, 12, 15, 16."
habitat8000 - Statuten,https://www.habitat8000.ch/wp-content/uploads/2025/07/HAB_Statuten_20250626.pdf,habitat8000,Statuten,PDF,"'- Die Anteilsscheine sind Aktien, eingeteilt in 6’000 Namenaktien zu CHF 250 (Stimmrechtsaktien) und 1’850 Namenaktien zu CHF 1’000 (Stammaktien). Die Aktien sind vollständig liberiert, d.h. sie müssen bei Zeichnung vollständig bezahlt werden. Es gibt keine Bestimmung zur Ratenzahlung.
- Die Dividende (Verzinsung) darf den für die Befreiung von der eidg. Stempelabgabe zulässigen Höchstansatz von 6% nicht überschreiten. Sie entspricht dem hypothekarischen Referenzzinssatz plus maximal 1%, darf aber 6% nicht übersteigen.
- Es gibt keine Bestimmungen zum Bezug der Aktien aus der Altersvorsorge.
- Weitere besondere Bestimmungen: Die Gesellschaft ist gemeinnützig und nicht gewinnstrebig. Die Ausschüttung von Tantiemen ist ausgeschlossen. Bei Liquidation wird maximal der Nennwert zurückbezahlt. Die Übertragung der Aktien bedarf der Genehmigung des Verwaltungsrats, der diese aus wichtigen Gründen verweigern kann."
Gemeinnützige Baugenossenschaft Richterswil - Statuten,https://www.wohnenplus-richterswil.ch/pdf/wohnenplus-richterswil_statuten.pdf,Gemeinnützige Baugenossenschaft Richterswil,Statuten,PDF,"- Die Genossenschaftsanteile haben einen Nennwert von CHF 10'000.
- Jedes Mitglied muss mindestens einen Anteil übernehmen und diesen unmittelbar nach Antritt der Mitgliedschaft voll einbezahlen. Ratenzahlungen sind nicht vorgesehen.
- Für Genossenschaftsanteile werden keine Anteilscheine ausgegeben, aber eine Bestätigung über die Beteiligung wird ausgestellt.
- Die Genossenschaftsanteile können mit höchstens 5% verzinst werden, sofern nach Deckung aller Unkosten ein Reinertrag verbleibt.
- Es gibt keine Angaben dazu, ob die Anteile aus der Altersvorsorge bezogen werden dürfen.
- Weitere besondere Bestimmungen: Die Rückzahlung der Anteile an ausscheidende Mitglieder erfolgt zum Bilanzwert des Austrittsjahres, höchstens aber zum Nennwert, und kann bei Bedarf durch den Vorstand aufgeschoben werden."
Baugenossenschaft Luegisland - Statuten,https://bg-luegisland.ch/wp-content/uploads/2024/07/Statuten-BGL.pdf,Baugenossenschaft Luegisland,Statuten,PDF,"'- Die Genossenschaftsanteile lauten auf einen Nennwert von je Fr. 100.–, Fr. 500.– und Fr. 1‘000.– und müssen voll einbezahlt sein. Ausnahmsweise kann der Vorstand die Einzahlungspflicht aufschieben. Der nicht einbezahlte Betrag wird nicht verzinst.
- Mitglieder, die Räumlichkeiten mieten, müssen pro ganzes Zimmer einen Anteilschein von mindestens Fr. 1‘000.– übernehmen. Der Maximalbetrag beträgt 20% der Anlagekosten der gemieteten Räumlichkeiten.
- Die Verzinsung der Anteile wird von der Generalversammlung festgelegt, darf nur aus dem Bilanzgewinn erfolgen und nur, wenn angemessene Einlagen in die Fonds sowie Abschreibungen vorgenommen sind. Die Verzinsung erfolgt jeweils ab dem ersten Tag des der Einzahlung folgenden Monats bis zum Erlöschen der Mitgliedschaft.
- Die Mitgliedschaft beginnt mit der vollständigen Einzahlung des Anteilscheinkapitals.
- Es ist nicht explizit geregelt, ob die Anteile in Raten bezahlt werden dürfen, aber der Vorstand kann die Einzahlungspflicht aufschieben.
- Es gibt keine Angaben dazu, ob die Anteile aus der Altersvorsorge (z.B. Pensionskasse) bezogen werden dürfen.
- Die Verpfändung oder Übertragung des gezeichneten Genossenschaftskapitals ist grundsätzlich untersagt, mit Ausnahme der in den Statuten genannten Fälle (z.B. bei Tod oder Scheidung).
- Ausgeschiedene Mitglieder haben Anspruch auf Rückzahlung der einbezahlten Genossenschaftsanteile zum Bilanzwert des Austrittsjahres, höchstens zum Nennwert, nach Vorliegen der definitiven Schlussabrechnung.

Keine weiteren besonderen Bestimmungen zu den gestellten Fragen gefunden."
Baugenossenschaft Kyburg - Statuten,https://bgkyburg.ch/wp-content/uploads/2025/05/BGK-Statuten-r2013.pdf,Baugenossenschaft Kyburg,Statuten,PDF,"- Die Anteilscheine lauten auf einen Kapitalbetrag von Fr. 1000.– und müssen voll einbezahlt werden. Ausnahmsweise kann der Vorstand die Einzahlungspflicht teilweise aufschieben; der nicht einbezahlte Betrag wird nicht verzinst.
- Die Anzahl der Pflichtanteilscheine kann je nach Finanzierungsbedarf für die gemieteten Räumlichkeiten variieren. Bei erhöhtem Finanzierungsbedarf können Mitglieder zur Übernahme weiterer Anteilscheine bis maximal Fr. 5000.– pro Zimmer verpflichtet werden.
- Die Anteilscheine dürfen bis zum Satz der Zürcher Kantonalbank für grundpfandgesicherte Darlehen im ersten Rang, höchstens aber zu sechs Prozent, verzinst werden. Die Generalversammlung setzt die Verzinsung fest.
- Die Anteilscheine sind jeweils vom ersten Tag des der Einzahlung folgenden Monats an verzinslich.
- Es gibt keine Angaben dazu, dass die Anteilscheine aus der Altersvorsorge bezogen werden dürfen.
- Weitere besondere Bestimmungen: Die Rückzahlung der Anteilscheine an ausscheidende Mitglieder erfolgt zum Bilanzwert des Austrittsjahres, höchstens aber zum Nominalbetrag, und wird ein Jahr nach dem Ausscheiden fällig. Der Vorstand kann die Rückzahlung um bis zu drei weitere Jahre hinausschieben, wenn es die Finanzlage erfordert. Die Genossenschaft kann Ansprüche gegenüber einem Mitglied mit dessen Anteilscheinen verrechnen.

Quelle: https://bgkyburg.ch/wp-content/uploads/2025/05/BGK-Statuten-r2013.pdf"
Baugenossenschaft Heubach - Statuten,https://www.bg-heubach.ch/images/formulare-reglemente/statuten-bgh-genehmigte-fassung.pdf,Baugenossenschaft Heubach,Statuten,PDF,"'- Die Genossenschaftsanteile lauten auf einen Nennwert von je Fr. 100.00 und müssen voll einbezahlt werden. Mitglieder, die Räumlichkeiten mieten, müssen zusätzlich zum Mitgliedschaftsanteil weitere Anteile (Wohnungsanteile) übernehmen. Der Maximalbetrag beträgt 10% der Anlagekosten der gemieteten Räumlichkeiten. Ausnahmsweise kann der Vorstand für die Wohnungsanteile Ratenzahlung bewilligen.
- Für Genossenschaftsanteile werden keine Anteilscheine ausgegeben, aber das Mitglied erhält eine Bestätigung über die Höhe seiner Beteiligung.
- Die Genossenschaftsanteilscheine werden nicht verzinst.
- Die Mitgliedschaft beginnt erst mit der vollständigen Einzahlung der erforderlichen Genossenschaftsanteile.
- Mit Einverständnis des Vorstandes können Genossenschaftsanteile auch von Dritten finanziert werden.
- Es gibt keine Angaben dazu, ob die Anteile aus der Altersvorsorge bezogen werden dürfen.
- Weitere besondere Bestimmungen: Jede Verpfändung und sonstige Belastung von Genossenschaftsanteilen sowie deren Übertragung an Nichtmitglieder ist ausgeschlossen. Die Übertragung ist nur von Mitglied zu Mitglied mit Zustimmung des Vorstandes möglich. Bei Austritt erfolgt die Rückzahlung zum Bilanzwert des Austrittsjahres, höchstens aber zum Nennwert, frühestens nach Genehmigung der Jahresrechnung durch die nächste Generalversammlung, und kann bei Bedarf bis zu drei Jahre hinausgeschoben werden."
