Name,URL,Genossenschaft,Typ Einträge,Select,AI Summary Zusammenleben
Baugenossenschaft Zürileu - Statuten,https://bgzuerileu.ch/wp-content/uploads/2022/09/Statuten.pdf,Baugenossenschaft Zürileu,Statuten,PDF,"Die Genossenschaft Baugenossenschaft Zürileu sorgt laut ihren Statuten für folgende Punkte:

1. Gute soziale Durchmischung:
- Die Genossenschaft ist bestrebt, Wohnraum für alle Bevölkerungskreise anzubieten, insbesondere für Alleinstehende, Familien, Menschen mit besonderen Bedürfnissen und Betagte (ältere Menschen). Sie fördert das Zusammenleben im Sinne gesamtgesellschaftlicher Verantwortung und gegenseitiger Solidarität (Art. 3).
- Es gibt keine explizite Quotenregelung für verschiedene Einkommensgruppen, aber die Genossenschaft vermietet zu Kostenmiete und verzichtet auf Gewinn, was auch Menschen mit tieferem Einkommen zugutekommt (Art. 4).
- Die Statuten betonen die Nutzungsflexibilität der Wohnungen, um auch künftigen Bedürfnissen (z.B. Familien, ältere Menschen, junge Erwachsene) gerecht zu werden (Art. 5).
- Die Wohnungsgrösse und die Zahl der Benutzer/innen sollen in einem angemessenen Verhältnis stehen, was auf eine bedarfsgerechte Vergabe (z.B. für Familien) hinweist (Art. 4 Abs. 6).

2. Gutes Zusammenleben:
- Die Förderung von genossenschaftlichen Aktivitäten in den Siedlungen ist explizit als Zweck genannt (Art. 3, h).
- Mitglieder sind verpflichtet, nach Möglichkeit an genossenschaftlichen Aktivitäten teilzunehmen und in Gremien mitzuwirken (Art. 14, c).
- Der Vorstand kann die Geschäftsführung oder einzelne Zweige an Ausschüsse oder Kommissionen übertragen, die auch aus Nicht-Mitgliedern bestehen können (Art. 31). Das lässt die Möglichkeit für Siedlungskommissionen offen, ist aber nicht explizit geregelt.
- Mitglieder von Kommissionen und Ausschüssen haben Anspruch auf ein massvolles Sitzungsgeld, und Auslagen werden ersetzt (Art. 23).
- Es gibt keine explizite Erwähnung von ausgebildeten Fachpersonen für das Zusammenleben oder von spezifisch bereitgestellten Räumlichkeiten in den Statuten.
- Die Genossenschaft kann Räume für geschäftliche Dienstleistungen anbieten (Art. 3), was auf eine gewisse Infrastruktur hindeutet.

Weitere Informationen:
- Die Genossenschaft ist gemeinnützig und nicht gewinnstrebig.
- Die Statuten betonen Solidarität, Selbsthilfe und Mitverantwortung der Mitglieder.
- Die Organe der Genossenschaft sind Generalversammlung, Vorstand und Revisionsstelle.

Quelle: Statuten der Baugenossenschaft Zürileu, Stand 18. Juni 2021."
Baugenossenschaft Waidmatt - Anteilsscheine,https://www.waidmatt.ch/index.php/download_file/view/185/192/,Baugenossenschaft Waidmatt,Anteilsscheine,Webseite,"Das verlinkte Dokument konnte nicht gelesen werden, da es ungültig oder nicht zugänglich ist. Es sind daher keine spezifischen Informationen aus den Anteilsscheinen der Genossenschaft Waidmatt zu sozialer Durchmischung oder zum Zusammenleben verfügbar. Bitte stelle das Dokument in einem anderen Format zur Verfügung oder gib den Text direkt ein."
Baugenossenschaft Waidmatt - Statuten,https://www.waidmatt.ch/index.php/download_file/view/1295/192/,Baugenossenschaft Waidmatt,Statuten,PDF,"Das Dokument konnte nicht direkt gelesen werden. Auf der Website der Genossenschaft Waidmatt gibt es jedoch Hinweise zu den Themen:

1. Gute soziale Durchmischung:
- Die Genossenschaft Waidmatt bietet verschiedene Siedlungen und Gemeinschaftsräume an, was auf eine Förderung von sozialer Durchmischung und gemeinschaftlichem Wohnen hindeutet.
- Es gibt keine expliziten Angaben zu gezielten Massnahmen für Altersgruppen oder Einkommensschichten im Textauszug, aber die Struktur mit Gemeinschaftsräumen und verschiedenen Siedlungen spricht für eine gewisse Vielfalt.

2. Gutes Zusammenleben:
- Es gibt eine Siedlungskommission (""Siko Afaltra""), was auf eine organisierte Form der Mitbestimmung und Unterstützung für das Zusammenleben hinweist.
- Gemeinschaftsräume werden angeboten, was das soziale Miteinander fördert.
- Weitere Details zu finanzieller Unterstützung, Fachpersonen oder spezifischen Massnahmen sind im Textauszug nicht ersichtlich.

Für detaillierte Informationen zu den Statuten und konkreten Massnahmen wäre ein direkter Zugriff auf das vollständige Dokument notwendig. Auf der Website gibt es aber Hinweise auf Strukturen, die das Zusammenleben und die soziale Durchmischung unterstützen."
Baugenossenschaft Uster - Statuten,https://baugenossenschaft-uster.ch/wp-content/uploads/2022/06/Statuten_BGU.pdf,Baugenossenschaft Uster,Statuten,PDF,"Die Statuten der Baugenossenschaft Uster enthalten folgende Regelungen zu den Themen soziale Durchmischung und gutes Zusammenleben:

1. Soziale Durchmischung:
- Im Zweckartikel (§2) wird festgehalten, dass die Genossenschaft bezahlbaren Wohnraum schaffen und erhalten will, insbesondere für breite Bevölkerungskreise. Dies legt nahe, dass Menschen mit unterschiedlichen Einkommen Zugang haben sollen.
- Es gibt keine expliziten Vorgaben zu Altersgruppen, Familien oder jungen Erwachsenen, aber der gemeinnützige Zweck und die Ausrichtung auf breite Bevölkerungskreise deuten auf eine soziale Durchmischung hin.
- Die Vermietung der Wohnungen wird vom Vorstand geregelt (§28), der dabei die genossenschaftlichen Aufgaben nach besten Kräften fördern soll (§25).

2. Gutes Zusammenleben:
- Der Vorstand kann besondere Kommissionen einsetzen und deren Aufgaben und Kompetenzen festlegen (§25). Dies könnte z.B. Siedlungskommissionen einschließen, ist aber nicht explizit genannt.
- Mitglieder der Organe und Kommissionen können für ihre Tätigkeit Sitzungsgeld und Spesenersatz erhalten (§14), was auf ein gewisses Budget für solche Aufgaben hinweist.
- Es gibt keine explizite Erwähnung von ausgebildeten Fachpersonen oder der Bereitstellung von Gemeinschaftsräumen in den Statuten.
- Unterstützung durch die Genossenschaft ist insofern vorgesehen, als der Vorstand Kommissionen einsetzen und Aufgaben delegieren kann (§25).

Weitere Informationen zu spezifischen Massnahmen oder Angeboten (z.B. Gemeinschaftsräume, gezielte Förderung bestimmter Gruppen) sind in den Statuten nicht enthalten. Die konkrete Umsetzung sozialer Durchmischung und des guten Zusammenlebens dürfte in separaten Reglementen oder durch die Praxis des Vorstands geregelt werden."
HGW - Statuten,https://www.hgw-wohnen.ch/100-wohnen/dokumente-mieterservice/132_hgw-statuten_2021.pdf,HGW,Statuten,PDF,"Die HGW Heimstätten-Genossenschaft Winterthur setzt sich laut ihren Statuten für folgende Punkte ein:

1. Gute soziale Durchmischung:
- Die Genossenschaft verfolgt ausdrücklich das Ziel, Wohnraum für alle Bevölkerungskreise anzubieten und legt Wert auf eine ausgewogene Durchmischung (Art. 3). Das umfasst verschiedene Altersgruppen, Einkommensschichten und Lebensformen.
- Es wird auf eine angemessene Belegung der Wohnungen geachtet, sodass Wohnungsgrösse und Zahl der Bewohnenden im Verhältnis stehen (Art. 4 Abs. 6). Bei Unterbelegung werden kleinere Wohnungen angeboten.
- Die Genossenschaft kann Räume für weitere Bedürfnisse (z.B. Familien, Gewerbe) zur Verfügung stellen (Art. 3).
- Die Vermietungsrichtlinien, die vom Vorstand erlassen werden, regeln die Details zur Durchmischung und Belegung.

2. Gutes Zusammenleben:
- Die Genossenschaft fördert das Zusammenleben im Sinne gesamtgesellschaftlicher Verantwortung und gegenseitiger Solidarität (Art. 3).
- Es können genossenschaftliche Aktivitäten in den Siedlungen gefördert werden (Art. 3, 2e).
- Ein Solidaritätsfonds kann gebildet werden, aus dem objekt- und personenbezogene Vergünstigungen gewährt werden können (Art. 17). Über die Verwendung entscheidet ein Reglement, das von der Generalversammlung genehmigt wird.
- Es gibt die Möglichkeit, Kommissionen und Ausschüsse einzusetzen (Art. 31), und eine Beschwerdekommission schlichtet Streitigkeiten unter den Mietenden (Art. 37).
- Mitglieder von Kommissionen erhalten Sitzungsgelder, und Auslagen werden ersetzt (Art. 23).
- Die Statuten erwähnen nicht explizit ausgebildete Fachpersonen für das Zusammenleben, aber der Vorstand kann Aufgaben an Kommissionen oder externe Personen delegieren (Art. 31).
- Die Genossenschaft kann Räume für weitere Bedürfnisse zur Verfügung stellen (Art. 3), was auch Gemeinschaftsräume einschliessen kann.

Weitere Informationen:
- Die Genossenschaft ist gemeinnützig, politisch unabhängig und konfessionell neutral.
- Die Statuten regeln auch die Unterstützung bei Um- und Ersatzneubauten, indem Betroffenen nach Möglichkeit Ersatzwohnungen angeboten werden (Art. 5).
- Die Mitglieder sind verpflichtet, zu einem guten Wohnklima beizutragen (Art. 13).

Quelle: Statuten HGW Heimstätten-Genossenschaft Winterthur, 2021."
habitat8000 - Statuten,https://www.habitat8000.ch/wp-content/uploads/2025/07/HAB_Statuten_20250626.pdf,habitat8000,Statuten,PDF,"Die Statuten der Genossenschaft Habitat8000 (Stand 26.06.2025) regeln die Ziele und Strukturen der Genossenschaft. Sie enthalten folgende relevante Punkte:

1. Gute soziale Durchmischung:
- Die Genossenschaft verfolgt laut Art. 2 den Zweck, ""guten und preisgünstigen Wohnraum für breite Bevölkerungskreise zu schaffen und zu erhalten"". Sie will insbesondere ""eine soziale Durchmischung der Bewohnerinnen und Bewohner fördern"". Es wird explizit erwähnt, dass verschiedene Altersgruppen, Familien, Einzelpersonen und Menschen mit unterschiedlichem Einkommen angesprochen werden sollen.
- Die Statuten nennen als Zielgruppe ältere Menschen, Familien, Einzelpersonen und Menschen mit tiefem, mittlerem und höherem Einkommen.

2. Gutes Zusammenleben:
- Die Förderung des Zusammenlebens und der Mitwirkung der Bewohner:innen ist ein erklärtes Ziel (Art. 2).
- Die Statuten sehen die Möglichkeit von Siedlungskommissionen oder ähnlichen Gremien vor, die das Zusammenleben fördern können.
- Es wird festgehalten, dass die Genossenschaft die Bewohner:innen bei gemeinschaftlichen Aktivitäten und der Selbstorganisation unterstützt.
- Die Bereitstellung von Gemeinschaftsräumen und Infrastruktur für gemeinschaftliche Zwecke ist vorgesehen.
- Über die Verfügbarkeit von Fachpersonen oder ein explizites Budget für das Zusammenleben machen die Statuten keine konkreten Angaben.

Weitere Informationen:
- Die Statuten betonen die Gemeinnützigkeit und die Verpflichtung, Überschüsse für gleichartige Zwecke zu verwenden.
- Änderungen der Statuten bedürfen der Genehmigung durch das Bundesamt für Wohnungswesen, wenn Fördergelder bezogen werden.

Quelle: https://www.habitat8000.ch/wp-content/uploads/2025/07/HAB_Statuten_20250626.pdf"
Gemeinnützige Baugenossenschaft Richterswil - Statuten,https://www.wohnenplus-richterswil.ch/pdf/wohnenplus-richterswil_statuten.pdf,Gemeinnützige Baugenossenschaft Richterswil,Statuten,PDF,"Die Genossenschaft verfolgt den Zweck, auf gemeinnütziger Grundlage preisgünstigen Wohnraum zu schaffen und zu vermieten. Sie nutzt dazu Förderungsinstrumente nach dem eidgenössischen Wohnraumförderungsgesetz sowie kantonale und kommunale Gesetze. Die Vermietung erfolgt grundsätzlich zu Selbstkosten, ohne Gewinnerzielung, was den Zugang für Menschen mit unterschiedlichen Einkommen erleichtert. Es gibt keine expliziten Vorgaben zur sozialen Durchmischung (Alter, Einkommen, Familien, junge Erwachsene), aber der gemeinnützige und preisgünstige Ansatz fördert eine breite Durchmischung.

Für das Zusammenleben sieht die Genossenschaft keine expliziten Siedlungskommissionen oder Fachpersonen vor. Es gibt keine Hinweise auf spezielle finanzielle Mittel oder Unterstützung für das Zusammenleben oder auf die Bereitstellung von Gemeinschaftsräumen in den Statuten. Die Organisation erfolgt über Generalversammlung und Vorstand, die sich für verschiedene Aufgaben in Kommissionen teilen können. Weitere Details könnten in separaten Reglementen geregelt sein, werden aber in den Statuten nicht erwähnt.

Zusammengefasst: Die Statuten legen den Fokus auf preisgünstigen, gemeinnützigen Wohnraum und eine breite Zugänglichkeit, machen aber keine detaillierten Vorgaben zu sozialer Durchmischung oder zum Zusammenleben über die Grundstruktur der Genossenschaft hinaus."
Baugenossenschaft Luegisland - Statuten,https://bg-luegisland.ch/wp-content/uploads/2024/07/Statuten-BGL.pdf,Baugenossenschaft Luegisland,Statuten,PDF,"Die Genossenschaft Baugenossenschaft Luegisland Zürich setzt sich laut Statuten für eine gute soziale Durchmischung und ein gutes Zusammenleben ein:

1. Soziale Durchmischung:
- Die Genossenschaft bezweckt, „für die verschiedenen Generationen sichere und gemeinschaftliche Wohnformen zu verwirklichen“ (Art. 2). Das spricht für eine Durchmischung von Jung und Alt.
- Es gibt keine expliziten Vorgaben zu Altersgruppen, Einkommensschichten oder Familien, aber der Zweck der Genossenschaft ist die Bereitstellung von „preisgünstigem und freitragendem Wohnraum“ und die Entziehung des Wohnraums von der Spekulation. Das fördert grundsätzlich eine soziale Durchmischung, da Wohnungen nicht nach Gewinnmaximierung vergeben werden.
- Die Statuten erwähnen keine speziellen Quoten oder Vorgaben für Familien, ältere Menschen oder junge Erwachsene, aber der Vorstand kann im Vermietungsreglement weitere Details festlegen (Art. 31).

2. Gutes Zusammenleben:
- Es gibt Siedlungsversammlungen, die vom Vorstand einberufen werden, wenn Bauvorhaben anstehen, die die Mieterinnen und Mieter einer Siedlung direkt betreffen. Diese dienen der Information, nicht der Mitbestimmung (Art. 23).
- Die Statuten sehen die Möglichkeit vor, dass der Vorstand Ausschüsse oder Kommissionen einsetzt, auch mit externen Personen (Art. 25). Ob es explizit Siedlungskommissionen oder ausgebildete Fachpersonen für das Zusammenleben gibt, ist nicht geregelt.
- Es gibt einen Genossenschaftsfonds, der durch Beiträge der Mitglieder geäufnet wird (Art. 16). Die Verwendung ist nicht detailliert beschrieben, aber der Vorstand kann ein Reglement dazu erlassen.
- Über die Bereitstellung von Gemeinschaftsräumen oder spezifische Unterstützung für das Zusammenleben steht in den Statuten nichts Konkretes.
- Die Genossenschaft kann Mitglied bei Dachorganisationen werden, was Zugang zu weiteren Ressourcen und Know-how bieten kann (Art. 36).

Zusammengefasst: Die Statuten legen den Fokus auf preisgünstigen Wohnraum für verschiedene Generationen und eine nicht gewinnorientierte Vermietung, was soziale Durchmischung begünstigt. Für das Zusammenleben gibt es Siedlungsversammlungen und die Möglichkeit, Kommissionen einzusetzen, aber keine detaillierten Regelungen zu Fachpersonen, finanzieller Unterstützung oder Gemeinschaftsräumen. Vieles kann durch Reglemente des Vorstands weiter ausgestaltet werden."
Baugenossenschaft Kyburg - Statuten,https://bgkyburg.ch/wp-content/uploads/2025/05/BGK-Statuten-r2013.pdf,Baugenossenschaft Kyburg,Statuten,PDF,"Die Statuten der Baugenossenschaft Kyburg enthalten folgende relevante Bestimmungen:

1. Gute soziale Durchmischung:
- Im Zweckartikel (Art. 2) steht, dass die Genossenschaft ihren Mitgliedern preisgünstigen Wohnraum vermitteln will, insbesondere durch Bau oder Erwerb von zweckmässigen Wohnhäusern und deren Vermietung in einem angemessenen Verhältnis von Wohnraum und Zahl der Benutzer. Es gibt aber keine expliziten Vorgaben zur sozialen Durchmischung nach Alter, Einkommen oder Familienstand.
- Die Mitgliedschaft steht grundsätzlich allen natürlichen und juristischen Personen offen (Art. 3). Es gibt keine Einschränkungen bezüglich Alter, Einkommen oder Familienform.
- Bei der Vermietung (Art. 30) wird auf die Einhaltung von Belegungsvorschriften geachtet, z.B. dass Wohnungen nicht dauerhaft unterbesetzt bleiben. Das kann dazu beitragen, dass Wohnungen passend an Familien, Einzelpersonen oder ältere Menschen vergeben werden.

2. Gutes Zusammenleben:
- Der Vorstand kann besondere Kommissionen einsetzen (Art. 24), es ist aber nicht explizit von Siedlungskommissionen die Rede.
- Die Statuten sehen die Möglichkeit vor, weitere Fonds mit besonderen Zweckbestimmungen zu schaffen (Art. 13), was auch für gemeinschaftsfördernde Zwecke genutzt werden könnte. Es gibt aber keine explizite Zweckbindung für das Zusammenleben.
- Unterstützung durch die Genossenschaft ist im Rahmen der allgemeinen Verwaltung und Organisation vorgesehen, aber nicht speziell für das Zusammenleben geregelt.
- Es gibt keine Hinweise auf ausgebildete Fachpersonen für das Zusammenleben.
- Räumlichkeiten werden nicht explizit für gemeinschaftliche Zwecke erwähnt, aber die Genossenschaft kann über die Nutzung ihrer Gebäude entscheiden.

Weitere Informationen:
- Die Genossenschaft ist gemeinnützig und verpflichtet, ihre Bauten jeder spekulativen Verwendung zu entziehen (Art. 2).
- Die Mietzinsgestaltung erfolgt nach dem Prinzip der Kostenmiete (Art. 31).

Fazit: Die Statuten schaffen die Grundlage für eine soziale Durchmischung und ein gutes Zusammenleben, machen aber keine detaillierten oder verpflichtenden Vorgaben zu den einzelnen Aspekten wie gezielte Förderung bestimmter Gruppen, Siedlungskommissionen oder Fachpersonen."
Baugenossenschaft Heubach - Statuten,https://www.bg-heubach.ch/images/formulare-reglemente/statuten-bgh-genehmigte-fassung.pdf,Baugenossenschaft Heubach,Statuten,PDF,"Die Genossenschaft Baugenossenschaft Heubach Horgen sorgt laut ihren Statuten für folgende Punkte:

1. Gute soziale Durchmischung:
- Die Genossenschaft bietet Wohnraum für alle Bevölkerungskreise an, insbesondere auch für Familien. Sie fördert das Zusammenleben im Sinne gesamtgesellschaftlicher Verantwortung und gegenseitiger Solidarität (Art. 3).
- Die Vermietung erfolgt grundsätzlich zu Selbstkosten, ohne Gewinnstreben, was auch Menschen mit unterschiedlichen Einkommen Zugang ermöglicht (Art. 3, Art. 4).
- Es wird auf ein angemessenes Verhältnis zwischen Wohnungsgrösse und Zahl der Bewohner geachtet, was Platz für Familien, ältere Menschen und junge Erwachsene schafft (Art. 4).
- Bei Umbauten und Ersatzneubauten wird auf ein sozialverträgliches Vorgehen geachtet, und bisherigen Mietern wird nach Möglichkeit ein Umsiedlungsobjekt angeboten (Art. 5).

2. Gutes Zusammenleben:
- Die Genossenschaft fördert genossenschaftliche Aktivitäten in den Siedlungen (Art. 3).
- Es können Kommissionen und Ausschüsse gebildet werden, auch ständige oder ad hoc Kommissionen, die Aufgaben im Sinne der Genossenschaft übernehmen (Art. 31).
- Mitglieder von Kommissionen haben Anspruch auf Sitzungsgeld und Spesenersatz, es stehen also finanzielle Mittel zur Verfügung (Art. 23).
- Die Statuten erwähnen nicht explizit ausgebildete Fachpersonen für das Zusammenleben, aber der Vorstand kann Aufgaben an Dritte delegieren (Art. 31).
- Die Förderung des Zusammenlebens und die Unterstützung von Aktivitäten sind explizit als Zweck genannt, was auch die Bereitstellung von Räumlichkeiten einschliessen kann (Art. 3, Art. 31).

Weitere Informationen:
- Die Genossenschaft ist gemeinnützig und nicht gewinnstrebig.
- Die Mitgliedschaft steht allen offen, die mindestens einen Genossenschaftsanteil übernehmen (Art. 7).
- Es gibt klare Regeln zur Untervermietung und zur Nutzung der Wohnungen, um eine gute Durchmischung und ein gutes Zusammenleben zu sichern.

Quelle: Statuten der Baugenossenschaft Heubach Horgen, genehmigte Fassung vom 27. September 2012."
